ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante,resultado,resultado_ajustado,ano,mes
2013,2013-12-09,20,Arena de Pernambuco,Francisco de Assis Almeida Filho,6826.0,,Náutico,Grêmio,Levi Gomes,Renato Gaúcho,20.0,4.0,3750000.0,17500000.0,27.0,27.6,0,2,0.0,1.0,,,,,,,,,,,,,,,Fora,Fora,2013,12
2013,2013-06-06,4,Estádio Cícero Pompeu de Toledo,Franscisco Carlos do Nascimento,8892.0,,São Paulo,Goiás EC,Ney Franco,Enderson Moreira,1.0,17.0,30150000.0,5600000.0,27.9,28.1,0,1,0.0,1.0,,,,,,,,,,,,,,,Fora,Fora,2013,6
2013,2013-03-11,32,Estádio Manoel Barradas,Jean Pierre Goncalves Lima,33852.0,,EC Vitória,Corinthians,Ney Franco,Tite,6.0,11.0,5150000.0,22700000.0,26.5,28.1,1,1,0.0,0.0,,,,,,,,,,,,,,,Empate,Fora,2013,3
2013,2013-09-06,5,Estádio Moisés Lucarelli,Claudio Francisco Lima e Silva,3473.0,19728.0,Ponte Preta,Botafogo,Zé Sérgio,Oswaldo de Oliveira,17.0,5.0,4050000.0,10100000.0,26.3,28.4,0,2,0.0,2.0,,,,,,,,,,,,,,,Fora,Fora,2013,9
2013,2013-06-07,6,Arena de Pernambuco,Héber Lopes,20413.0,,Náutico,Ponte Preta,Zé Teodoro,Paulo César Carpegiani,17.0,18.0,4000000.0,4000000.0,26.0,28.1,1,3,0.0,2.0,,,,,,,,,,,,,,,Fora,Fora,2013,6
2013,2013-10-08,13,Arena de Pernambuco,Italo Medeiros de Azevedo,19997.0,,Náutico,Atlético-MG,Zé Teodoro,Cuca,19.0,14.0,5450000.0,21350000.0,27.7,30.5,0,0,0.0,0.0,,,,,,,,,,,,,,,Empate,Fora,2013,10
2013,2013-04-08,11,Estádio Manoel Barradas,Márcio Chagas da Silva,7697.0,,EC Vitória,Portuguesa,Caio Júnior,Guto Ferreira,6.0,20.0,4550000.0,5350000.0,26.5,29.5,2,1,0.0,0.0,,,,,,,,,,,,,,,Casa,Casa,2013,4
2013,2013-01-09,17,Estádio Manoel Barradas,Francisco de Assis Almeida Filho,10629.0,,EC Vitória,Criciúma EC,Caio Júnior,Sílvio Criciúma,11.0,16.0,5450000.0,4900000.0,26.7,27.5,0,1,0.0,1.0,,,,,,,,,,,,,,,Fora,Fora,2013,1
2013,2013-08-08,12,Estádio Nacional de Brasília Mané Garrincha,Cleisson Veloso Pereira,12511.0,,Flamengo,Portuguesa,Mano Menezes,Guto Ferreira,18.0,20.0,12600000.0,5350000.0,27.4,29.5,1,1,0.0,0.0,,,,,,,,,,,,,,,Empate,Casa,2013,8
2013,2013-06-06,4,Estádio Doutor Osvaldo Texeira Duarte,Wagner Reway,2235.0,21004.0,Portuguesa,Internacional,Edson Pimenta,Dunga,19.0,8.0,5000000.0,14700000.0,29.4,26.9,1,1,0.0,1.0,,,,,,,,,,,,,,,Empate,Fora,2013,6
